"a/rB","c/rB","alpha_X","alpha","beta","gamma","delta","E_X^0 (Ry)","Delta E_X (Ry)","Delta E_X error (Ry)","E_X (Ry)","E_X error (Ry)","E_XX^0 (Ry)","Delta E_XX (Ry)","Delta E_XX error (Ry)","E_XX (Ry)","E_XX error (Ry)","E_bind = 2 E_X - E_XX (Ry)","E_bind error (Ry)","N_X","N_X error","M_X","M_X error","|M_X|^2","|M_X|^2 error"
5.0,0.5,0.7809392140222257,0.7556943737557128,0.21332841922907436,2.2681865820703546,2.3827235819174315,48.24378805106118,-3.285509718609821,0.0066407758343094,44.95827833245136,0.0066407758343094,96.48757610212236,-6.835646521553495,0.017528545441012972,89.65192958056886,0.017528545441012972,0.26462708433385274,0.02199203310300909,0.240007011640618,0.000156026,2.0412116353653977,0.0006634849632985112,4.1665449403510815,0.0027086264539498096
5.0,1.0,0.7310894085677733,0.6798642956307124,0.1153346177497589,2.492963267977676,2.1088466287924317,12.78281519139015,-2.3550688555946557,0.00566380503216778,10.427746335795494,0.00566380503216778,25.5656303827803,-4.900995129638376,0.014135761677154211,20.664635253141924,0.014135761677154211,0.19085741844906412,0.01811448337554615,0.164086907768864,0.000135875,2.468669972771841,0.0010221124193005937,6.094331434465322,0.005046516476649113
5.0,1.5,0.7245471558423896,0.6077939831307123,0.004089211802105613,2.858881236727677,1.953280222542432,6.002081497784447,-1.9232242475267052,0.0054333400208877065,4.078857250257742,0.0054333400208877065,12.004162995568894,-4.002453279426842,0.010968931389466259,8.001709716142052,0.010968931389466259,0.15600478437343135,0.015440278202064181,0.11975320035843,0.000117824,2.8897244710966548,0.001421585790874124,8.350507518854842,0.008215982495304495
5.0,2.0,0.6260896472426455,0.5874814831307124,0.010584384475523713,3.0205999867276767,1.8743739725424318,3.556637887159965,-1.6680633602101056,0.0045095593185573235,1.8885745269498593,0.0045095593185573235,7.11327577431993,-3.439534250854032,0.010428129822595566,3.673741523465898,0.010428129822595566,0.10340753043382067,0.013787327245962351,0.117059497654679,0.000114574,2.922783668326998,0.0014303624341647436,8.542664371839024,0.008361279924730326
3.0,1.0,0.7060894085677732,0.6533017956307122,0.0633070356251368,2.5421820179776766,2.2986903787924318,13.745306096223288,-2.7098814227629866,0.005191791828027179,11.035424673460302,0.005191791828027179,27.490612192446577,-5.668732034838612,0.012013198692758395,21.821880157607964,0.012013198692758395,0.24896918931263912,0.015878783088573607,0.232865482483784,0.00014806,2.0722752541998535,0.0006587946630480031,4.294324729169068,0.002730407755666615
7.0,1.0,0.7623394085677733,0.6423642956307125,0.05418019210545175,2.6040262065394617,1.8963466287924327,12.370319089318805,-2.164668506730562,0.006276453207963982,10.205650582588243,0.006276453207963982,24.74063817863761,-4.463743557850562,0.013213780836381523,20.276894620787047,0.013213780836381523,0.13440654438943778,0.018225791161948744,0.122686036157931,0.00012205,2.854975807217092,0.0014200874369365655,8.150886859794886,0.008108630553173644
10.0,1.0,0.7857869128676452,0.6423642956307125,0.05418019210545175,3.0569003294158894,1.8963466287924327,12.060947012765295,-1.9994479554510485,0.006947215249247672,10.061499057314247,0.006947215249247672,24.12189402553059,-4.029458965051969,0.013836008003821927,20.09243506047862,0.013836008003821927,0.030563054149872038,0.019608424627168344,0.0895351913845732,0.000108836,3.3419743850218153,0.0020311964409946187,11.168792790141941,0.013576412953502983
