"a","c","XBestAlpha","XCorrectionRy","XRoughErrorRy","XTotalRy","XXFinalParameters","XXCorrectionRy","XXRoughErrorRy","XXTotalRy","bindingRy","bindingRoughErrorRy","firstMoveAccepted","finalMoveAccepted","candidateCount","totalIntegralHours"
5,0.5,0.7809392140222257,-3.285509718609821,0.006640775834309401,44.95827833245136,"{0.7556943737557128, 0.21332841922907436, 2.2681865820703546, 2.3827235819174315}",-6.835646521553495,0.017528545441012972,89.65192958056886,0.26462708433385274,0.02199203310300909,true,true,23,51.92717356213888
5,1.5,0.7245471558423896,-1.9232242475267052,0.005433340020887706,4.078857250257742,"{0.6077939831307123, 0.004089211802105613, 2.858881236727677, 1.953280222542432}",-4.002453279426842,0.010968931389466259,8.001709716142052,0.15600478437343135,0.01544027820206418,false,false,21,45.99521041725
5,2,0.6260896472426455,-1.6680633602101056,0.004509559318557322,1.8885745269498593,"{0.5874814831307124, 0.010584384475523713, 3.0205999867276767, 1.8743739725424318}",-3.439534250854032,0.010428129822595566,3.673741523465898,0.10340753043382067,0.01378732724596235,false,false,21,45.95998919033334
3,1,0.7060894085677732,-2.7098814227629866,0.005191791828027179,11.035424673460302,"{0.6533017956307122, 0.0633070356251368, 2.5421820179776766, 2.2986903787924318}",-5.668732034838612,0.012013198692758395,21.821880157607964,0.24896918931263912,0.015878783088573607,false,false,23,52.460030686833335
7,1,0.7623394085677733,-2.164668506730562,0.006276453207963982,10.205650582588243,"{0.6423642956307125, 0.05418019210545175, 2.6040262065394617, 1.8963466287924327}",-4.463743557850562,0.013213780836381523,20.276894620787047,0.13440654438943866,0.018225791161948744,true,false,23,47.809158697444445
10,1,0.7857869128676452,-1.9994479554510485,0.006947215249247672,10.061499057314247,"{0.6423642956307125, 0.05418019210545175, 3.0569003294158894, 1.8963466287924327}",-4.029458965051969,0.013836008003821927,20.09243506047862,0.030563054149872926,0.019608424627168344,true,false,22,40.64094878188889
