"candidateKey","stage","geometryKey","a","c","system","budget","parameters","parameterKey","workerKernel","source","integral","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"5.|0.5::X::2000000::0.9909392140222256","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.9909392140222256}","0.9909392140222256",23,"parallel-pattern-search-remaining","normDenominator",192.8573765,0.1785716650265634,true,0.178572,0.000142786,0.0007996005412099388,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.178572 and 0.000142786
     for the integral and error estimates."
"5.|0.5::X::2000000::0.9909392140222256","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.9909392140222256}","0.9909392140222256",23,"parallel-pattern-search-remaining","coulombNumerator",332.8160819,-0.7810117695580702,true,-0.781012,0.00136325,0.0017454922616228759,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.781012 and 0.00136325
     for the integral and error estimates."
"5.|1.5::X::2000000::0.6097998687180292","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.6097998687180292}","0.6097998687180292",25,"parallel-pattern-search-remaining","normDenominator",193.8855506,0.1554486936214968,true,0.155449,0.000130399,0.0008388555539585911,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.155449 and 0.000130399
     for the integral and error estimates."
"5.|1.5::X::2000000::0.6097998687180292","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.6097998687180292}","0.6097998687180292",25,"parallel-pattern-search-remaining","coulombNumerator",334.4678575,-0.3652958622737349,true,-0.365296,0.000626591,0.0017152972828650965,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.365296 and 0.000626591
     for the integral and error estimates."
"5.|1.5::X::2000000::0.7015976984175175","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.7015976984175175}","0.7015976984175175",19,"parallel-pattern-search-remaining","normDenominator",232.2347851,0.12599093273470113,true,0.125991,0.000120476,0.0009562275426096423,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.125991 and 0.000120476
     for the integral and error estimates."
"5.|1.5::X::2000000::0.7015976984175175","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.7015976984175175}","0.7015976984175175",19,"parallel-pattern-search-remaining","coulombNumerator",319.3066861,-0.3135353859144604,true,-0.313535,0.000587635,0.0018742222613441157,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.313535 and 0.000587635
     for the integral and error estimates."
"5.|1.5::X::2000000::0.7474966132672616","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.7474966132672616}","0.7474966132672616",24,"parallel-pattern-search-remaining","normDenominator",232.5361629,0.11394162316165253,true,0.113942,0.00011512,0.0010103419348052964,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.113942 and 0.00011512
     for the integral and error estimates."
"5.|1.5::X::2000000::0.7474966132672616","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.7474966132672616}","0.7474966132672616",24,"parallel-pattern-search-remaining","coulombNumerator",318.6461492,-0.29122568916160296,true,-0.291226,0.000565735,0.0019425999183954891,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.291226 and 0.000565735
     for the integral and error estimates."
"5.|2.::X::2000000::0.5202290788682852","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.5202290788682852}","0.5202290788682852",26,"parallel-pattern-search-remaining","normDenominator",232.2855716,0.15545218820861206,true,0.155452,0.000128914,0.0008292839199342847,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.155452 and 0.000128914
     for the integral and error estimates."
"5.|2.::X::2000000::0.5202290788682852","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.5202290788682852}","0.5202290788682852",26,"parallel-pattern-search-remaining","coulombNumerator",319.2070532,-0.3055850399309851,true,-0.305585,0.000518291,0.001696061430615365,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.305585 and 0.000518291
     for the integral and error estimates."
"5.|2.::X::2000000::0.5625733062180293","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.5625733062180293}","0.5625733062180293",21,"parallel-pattern-search-remaining","normDenominator",232.7201822,0.1384202894232742,true,0.13842,0.000122139,0.0008823778689445752,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.13842 and 0.000122139
     for the integral and error estimates."
"5.|2.::X::2000000::0.5625733062180293","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.5625733062180293}","0.5625733062180293",21,"parallel-pattern-search-remaining","coulombNumerator",321.1698164,-0.2805218460492572,true,-0.280522,0.000498574,0.0017773089940113069,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.280522 and 0.000498574
     for the integral and error estimates."
"5.|2.::X::2000000::0.6049175335677734","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6049175335677734}","0.6049175335677734",20,"parallel-pattern-search-remaining","normDenominator",233.3577547,0.12368830746530651,true,0.123688,0.000117909,0.0009532752320430323,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.123688 and 0.000117909
     for the integral and error estimates."
"5.|2.::X::2000000::0.6049175335677734","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6049175335677734}","0.6049175335677734",20,"parallel-pattern-search-remaining","coulombNumerator",320.876299,-0.25825418285652624,true,-0.258254,0.000477324,0.001848272096584699,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.258254 and 0.000477324
     for the integral and error estimates."
"5.|2.::X::2000000::0.6896059882672617","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6896059882672617}","0.6896059882672617",23,"parallel-pattern-search-remaining","normDenominator",233.0650949,0.09982589683662163,true,0.0998259,0.000106406,0.0010659157931147624,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.0998259 and 0.000106406
     for the integral and error estimates."
