"stage","budget","system","integral","parameters","parameterKey","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"optimization",100000,"X","normDenominator","{0.6623394085677733}","0.6623394085677733",3.8456858,0.18771498445893955,true,0.187715,0.00063073,0.003360040765088547,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.187715 and 0.00063073
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6623394085677733}","0.6623394085677733",5.3745465,-0.5376064664976743,true,-0.537606,0.00400029,0.007440926122151296,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.537606 and 0.00400029
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6498394085677733}","0.6498394085677733",3.976214,0.1924901469228735,true,0.19249,0.000634397,0.0032957375228883203,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.19249 and 0.000634397
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6498394085677733}","0.6498394085677733",5.3401431,-0.5450681142473257,true,-0.545068,0.00400021,0.00733891764247449,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.545068 and 0.00400021
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6592144085677734}","0.6592144085677734",3.9677427,0.18892849647180804,true,0.188928,0.000632663,0.003348690175462261,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.188928 and 0.000632663
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6592144085677734}","0.6592144085677734",5.4180456,-0.5396318561867145,true,-0.539632,0.00397685,0.007369561219202737,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.539632 and 0.00397685
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6529644085677733}","0.6529644085677733",4.0120643,0.19122941897049198,true,0.191229,0.000632763,0.0033089207895237067,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.191229 and 0.000632763
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6529644085677733}","0.6529644085677733",5.5354396,-0.5477632329502238,true,-0.547763,0.00411593,0.00751406767086542,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.547763 and 0.00411593
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6498394085677732}","0.6498394085677732",4.0974067,0.19249014692287372,true,0.19249,0.000634397,0.0032957375228883164,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.19249 and 0.000634397
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6498394085677732}","0.6498394085677732",5.5221917,-0.5450681142473253,true,-0.545068,0.00400021,0.007338917642474496,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.545068 and 0.00400021
     for the integral and error estimates."
