"integral","replicates","meanValue","standardDeviation","meanSeconds"
"normP",3,0.0001454337198644292,1.1355600057399856e-7,145.1296022
"normQ",3,0.00014616932021312398,1.1916432712846805e-7,148.83056203333334
"interactionFullP",3,-0.0008916547772638937,0.0000039032792195363045,242.31999823333334
"interactionFullQ",3,-0.0008999443582072419,0.000001185624704792779,242.2222455333333
"interactionReduced",3,-0.0008825589226733839,0.0000053001902920614595,211.89240206666668
"crossAttractionR1a",3,0.0001652620771043936,2.9313904866323106e-7,162.51909286666665
"crossAttractionR1b",3,0.00016150648512318238,4.536692828000932e-7,163.5238006666667
