"candidateKey","stage","system","budget","parameters","parameterKey","workerKernel","source","integral","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"X::2000000::0.7310894085677733","X-initial-grid","X",2000000,"{0.7310894085677733}","0.7310894085677733",13,"parallel-pattern-search","normDenominator",152.2365541,0.164086907768864,true,0.164087,0.000135875,0.0008280672836579756,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.164087 and 0.000135875
     for the integral and error estimates."
"X::2000000::0.7310894085677733","X-initial-grid","X",2000000,"{0.7310894085677733}","0.7310894085677733",13,"parallel-pattern-search","coulombNumerator",253.0920178,-0.4871970764387127,true,-0.487197,0.000837225,0.0017184524302155152,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.487197 and 0.000837225
     for the integral and error estimates."
"X::2000000::0.7566775378676454","X-half-step-refinement","X",2000000,"{0.7566775378676454}","0.7566775378676454",12,"parallel-pattern-search","normDenominator",108.5956316,0.15632978518771376,true,0.15633,0.000133266,0.0008524671088109037,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.15633 and 0.000133266
     for the integral and error estimates."
"X::2000000::0.7566775378676454","X-half-step-refinement","X",2000000,"{0.7566775378676454}","0.7566775378676454",12,"parallel-pattern-search","coulombNumerator",148.6121566,-0.4704662632003638,true,-0.470466,0.000831623,0.0017676570352629633,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.470466 and 0.000831623
     for the integral and error estimates."
"X::2000000::0.7055012792679012","X-half-step-refinement","X",2000000,"{0.7055012792679012}","0.7055012792679012",11,"parallel-pattern-search","normDenominator",109.2086562,0.17238236835440254,true,0.172382,0.000138875,0.0008056218354912352,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.172382 and 0.000138875
     for the integral and error estimates."
"X::2000000::0.7055012792679012","X-half-step-refinement","X",2000000,"{0.7055012792679012}","0.7055012792679012",11,"parallel-pattern-search","coulombNumerator",149.5777598,-0.5039557547839336,true,-0.503956,0.000852172,0.001690965907047457,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.503956 and 0.000852172
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.6924003294158902|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.6924003294158902, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.6924003294158902|2.1088466287924317",16,"parallel-pattern-search","normDenominator",612.6494583,0.0005887362622542389,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000588736 and 1.24064 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.6924003294158902|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.6924003294158902, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.6924003294158902|2.1088466287924317",16,"parallel-pattern-search","hamiltonianNumerator",9532.7392042,-0.0028600585524640337,true,-0.00286006,0.0000100528,0.003514893074947429,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.00286006 and 0.0000100528
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|2.319731291671675","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.319731291671675}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.319731291671675",18,"parallel-pattern-search","normDenominator",615.1406238,0.00033639352490989234,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -7
     integrand evaluations. NIntegrate obtained 0.000336394 and 7.72161 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|2.319731291671675","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.319731291671675}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.319731291671675",18,"parallel-pattern-search","hamiltonianNumerator",9536.9761612,-0.0016237433116787822,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained -0.00162374 and 6.20103 10
     for the integral and error estimates."
